fecha_vigencia,precio,provincia,localidad,direccion
2024-02-01,839.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-02-01,839.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-04-01,944.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-04-01,944.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-05-01,982.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-05-01,982.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-06-01,1022.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-06-01,1022.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-07-01,1053.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-07-01,1053.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-03-02,902.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-03-02,902.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-01-03,788.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-01-03,788.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2023-12-08,456.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2023-12-08,456.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2023-12-13,625.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2023-12-13,625.0,SAN LUIS,VILLA MERCEDES,25 DE MAYO 675
2024-02-01,638.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-02-01,638.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-04-01,718.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-04-01,718.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-05-01,747.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-05-01,747.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-06-01,777.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-06-01,777.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-07-01,800.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-07-01,800.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-03-02,686.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-03-02,686.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-01-03,628.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-01-03,628.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2023-12-08,356.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2023-12-08,356.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2023-12-13,498.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2023-12-13,498.0,CHUBUT,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 396
2024-02-01,858.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-02-01,858.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-04-01,966.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-04-01,966.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-05-01,1005.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-05-01,1005.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-06-01,1046.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-06-01,1046.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-07-01,1077.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-07-01,1077.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-03-02,923.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
2024-03-02,923.0,ENTRE RIOS,CONCEPCION DEL URUGUAY,9 DE JULIO 560
